sex,n,PPR,TPR,FPR,FNR,PPV,TNR,BACC,PPR_diff_vs_ref,TPR_diff_vs_ref,FPR_diff_vs_ref,FNR_diff_vs_ref,PPV_diff_vs_ref,TNR_diff_vs_ref,BACC_diff_vs_ref,DI_vs_ref
Male,4283,0.5115573196357693,0.6244196843082637,0.3973696571160169,0.3755803156917363,0.6138749429484254,0.6026303428839831,0.6135250135961234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Female,966,0.2732919254658385,0.40700808625336926,0.1899159663865546,0.5929919137466307,0.571969696969697,0.8100840336134454,0.6085460599334074,-0.2382653941699308,-0.2174115980548944,-0.2074536907294623,0.21741159805489446,-0.041905245978728356,0.2074536907294623,-0.004978953662716057,0.534235197065352
