approach,accuracy,precision,recall,f1,roc_auc
reductions_dp_race,0.6431701276433607,0.6313456889605157,0.6205940594059406,0.6259237068104654,
reductions_eo_race,0.6212611926081159,0.6093686354378819,0.5924752475247524,0.6008032128514056,
reweight_race,0.6414555153362546,0.6601893373193821,0.5247524752475248,0.5847308031774051,0.7049406085983048
threshold_opt_equalized_odds_race,0.6427891026862259,0.6552053486150907,0.5433663366336634,0.5940679800822689,
