sex,threshold,n,PPR,TPR,FPR,FNR,PPV,TNR,BACC,PPR_diff_vs_ref,TPR_diff_vs_ref,FPR_diff_vs_ref,FNR_diff_vs_ref,PPV_diff_vs_ref,TNR_diff_vs_ref,BACC_diff_vs_ref,DI_vs_ref
Male,0.3,4283,0.8853607284613588,0.9586815227483751,0.8111789572569281,0.04131847725162489,0.5445675105485233,0.18882104274307188,0.5737512827457235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Female,0.3,966,0.7380952380952381,0.8571428571428571,0.6638655462184874,0.14285714285714285,0.44600280504908835,0.33613445378151263,0.5966386554621849,-0.1472654903661207,-0.10153866560551805,-0.14731341103844076,0.10153866560551797,-0.09856470549943491,0.14731341103844076,0.02288737271646135,0.8336661141249749
